0.220928 536
0.246512 1072
0.276384 1608
0.306256 2144
0.331408 2680
0.340272 3216
0.360704 3752
0.385152 4288
0.411819 4824
0.438485 5360
0.465152 5896
0.491819 6432
0.518485 6968
0.54792 7504
0.571819 8040
0.598485 8576
0.625152 9112
0.651819 9648
0.678485 10184
0.705653 10720
0.740245 11256
0.772133 11792
0.800565 12328
0.827157 12864
0.854213 13400
0.880805 13936
0.912549 14472
0.939141 15008
0.975173 15544
1.00177 16080
1.04252 16616
1.06911 17152
1.09617 17688
1.13692 18224
1.16351 18760
1.19525 19296
1.25017 19832
1.27676 20368
1.31279 20904
1.34025 21440
1.38629 21976
1.41818 22512
1.43591 23048
1.4678 23584
1.48553 24120
1.53157 24656
1.57762 25192
1.59578 25728
1.61351 26264
1.6454 26800
1.68201 27336
1.71351 27872
1.73157 28408
1.74997 28944
1.76813 29480
